,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
20,2020-07-11,Wisła Kraków 1 - 1 Korona Kielce,Wisła Kraków,Sadlok M.,98:01,"10041,35","32,37","6,15",68,"395,63","679,86","1503,47","3352,54","4051,96","57,89",12429_filter_live_1.pdf,False,16,52,2020-07-11 Wisła Kraków 1 - 1 Korona Kielce,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
21,2020-08-29,Wisła Kraków 1 - 3 Śląsk Wrocław,Wisła Kraków,Sadlok M.,96:54,"10386,79","30,17","6,43",67,"193,47","714,99","1941,35","3210,89","4187,68","138,41",12460_filter_live_1.pdf,False,15,52,2020-08-29 Wisła Kraków 1 - 3 Śląsk Wrocław,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
22,2021-05-01,Legia Warszawa 0 - 0 Wisła Kraków,Wisła Kraków,Sadlok M.,82:03,"8266,47","31,31","6,04",43,"6,88","549,94","1331,12","3361,74","2944,15","72,64",12699_filter_live_1.pdf,False,1,42,2021-05-01 Legia Warszawa 0 - 0 Wisła Kraków,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
23,2020-10-18,PGE FKS Stal Mielec 0 - 6 Wisła Kraków,Wisła Kraków,Sadlok M.,90:23,"9861,27","29,48","6,55",37,"105,17","439,74","1740,24","3618,44","3879,58","78,10",12502_filter_live_1.pdf,False,4,33,2020-10-18 PGE FKS Stal Mielec 0 - 6 Wisła Kraków,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
24,2021-03-21,Wisła Kraków 3 - 1 PGE FKS Stal Mielec,Wisła Kraków,Sadlok M.,96:01,"10981,67","29,46","6,86",66,"218,05","769,43","2109,73","3995,26","3873,12","16,08",12646_filter_live_1.pdf,False,11,55,2021-03-21 Wisła Kraków 3 - 1 PGE FKS Stal Mielec,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
25,2020-10-28,Wisła Kraków 1 - 3 Lechia Gdańsk,Wisła Kraków,Sadlok M.,93:22,"9663,36","30,06","6,21",57,"180,72","605,44","1368,33","3528,17","3969,27","11,43",12494_filter_live_1.pdf,False,8,49,2020-10-28 Wisła Kraków 1 - 3 Lechia Gdańsk,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
26,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Wisła Kraków,Sadlok M.,96:45,"9873,83","30,87","6,12",37,"142,47","467,85","1297,80","3748,33","4070,78","146,60",12468_filter_live_1.pdf,False,7,30,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
27,2021-02-19,Wisła Kraków 2 - 1 Pogoń Szczecin,Wisła Kraków,Sadlok M.,96:34,"10629,66","30,91","6,60",61,"146,52","751,56","1788,93","3957,88","3814,15","170,62",12609_filter_live_1.pdf,False,9,52,2021-02-19 Wisła Kraków 2 - 1 Pogoń Szczecin,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
28,2020-11-08,Raków Częstochowa 0 - 0 Wisła Kraków,Wisła Kraków,Sadlok M.,96:54,"8530,75","29,26","5,28",40,"82,05","433,15","1333,86","2938,99","3285,57","457,13",12518_filter_live_1.pdf,False,5,35,2020-11-08 Raków Częstochowa 0 - 0 Wisła Kraków,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
29,2021-01-31,Wisła Kraków 3 - 4 Piast Gliwice,Wisła Kraków,Sadlok M.,100:48,"10707,19","32,26","6,37",52,"139,93","701,38","2122,89","3605,78","4064,27","72,94",12567_filter_live_1.pdf,False,7,45,2021-01-31 Wisła Kraków 3 - 4 Piast Gliwice,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
30,2020-09-18,Wisła Kraków 0 - 3 Wisła Płock,Wisła Kraków,Sadlok M.,97:32,"8970,30","31,48","5,52",52,"294,98","500,29","1237,34","3089,42","3495,38","352,89",12479_filter_live_1.pdf,False,15,37,2020-09-18 Wisła Kraków 0 - 3 Wisła Płock,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
31,2020-10-24,Wisła Kraków 3 - 0 Podbeskidzie Bielsko - Biała,Wisła Kraków,Sadlok M.,98:26,"9666,64","29,40","5,89",45,"62,06","574,75","1448,20","3523,41","4013,16","45,06",12510_filter_live_1.pdf,False,2,43,2020-10-24 Wisła Kraków 3 - 0 Podbeskidzie Bielsko - Biała,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
32,2021-02-12,Śląsk Wrocław 1 - 1 Wisła Kraków,Wisła Kraków,Sadlok M.,95:53,"10649,17","30,96","6,66",62,"162,83","710,66","1903,71","3987,55","3572,40","312,02",12600_filter_live_1.pdf,False,8,54,2021-02-12 Śląsk Wrocław 1 - 1 Wisła Kraków,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
33,2021-04-24,Wisła Kraków 0 - 0 Cracovia,Wisła Kraków,Sadlok M.,98:25,"9577,40","29,55","5,84",45,"147,50","411,68","1318,06","3248,80","4384,12","67,24",12692_filter_live_1.pdf,False,9,36,2021-04-24 Wisła Kraków 0 - 0 Cracovia,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
34,2020-07-18,Wisła Kraków 0 - 1 Arka Gdynia,Wisła Kraków,Sadlok M.,96:47,"10375,22","32,11","6,43",69,"377,95","679,67","1612,93","3527,86","3947,62","229,19",12442_filter_live_1.pdf,False,19,50,2020-07-18 Wisła Kraków 0 - 1 Arka Gdynia,2020/2021,Sadlok,M.,247,54007366,€ 69.000,€ 3.300,2021-06-30,Poland,53,59,DL,2020-11-23,8,11,9,4,11,11,12,8,12,12,10,8,12,9,14,11,11,10,11,11,13,10,13,10,12,11,11,12,12,11,12,13,11,12,12,12
