,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,aerialReach,commandofArea,communication,eccentricity,firstTouch,handling,kicking,oneonOnes,passing,punchingTendency,reflexes,rushingoutTendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength,freeKickTaking,penaltyTaking,technique
20,2020-07-03,ŁKS Łódź 1 - 2 Wisła Kraków,Wisła Kraków,Lis M.,98:05,"4873,97","21,73","2,98",0,"0,00","0,00","215,90","727,64","3874,89","55,54",12417_filter_live_1.pdf,False,0,0,2020-07-03 ŁKS Łódź 1 - 2 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
21,2021-02-07,Wisła Kraków 2 - 0 Jagiellonia Białystok,Wisła Kraków,Lis M.,93:12,"5735,29","24,50","3,69",7,"0,00","85,98","339,70","1238,68","4045,98","24,95",12598_filter_live_1.pdf,False,0,7,2021-02-07 Wisła Kraków 2 - 0 Jagiellonia Białystok,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
22,2021-04-05,Podbeskidzie Bielsko - Biała 2 - 0 Wisła Kraków,Wisła Kraków,Lis M.,95:20,"6026,65","27,71","3,79",21,"38,70","212,55","404,04","1193,64","4109,14","68,58",12653_filter_live_1.pdf,False,3,18,2021-04-05 Podbeskidzie Bielsko - Biała 2 - 0 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
23,2020-08-24,Jagiellonia Białystok 1 - 1 Wisła Kraków,Wisła Kraków,Lis M.,98:15,"4796,87","25,34","2,93",3,"0,00","42,13","132,83","678,89","3788,78","154,24",12456_filter_live_1.pdf,False,0,3,2020-08-24 Jagiellonia Białystok 1 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
24,2021-04-21,KGHM Zagłębie Lubin 4 - 1 Wisła Kraków,Wisła Kraków,Lis M.,96:16,"5247,69","29,29","3,27",4,"23,51","20,73","208,91","661,84","4282,80","49,90",12685_filter_live_1.pdf,False,1,3,2021-04-21 KGHM Zagłębie Lubin 4 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
25,2021-02-28,Wisła Płock 1 - 3 Wisła Kraków,Wisła Kraków,Lis M.,99:14,"6026,42","23,42","3,64",5,"0,00","93,00","255,17","1420,11","4227,23","30,91",12623_filter_live_1.pdf,False,0,5,2021-02-28 Wisła Płock 1 - 3 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
26,2020-12-04,Cracovia 1 - 1 Wisła Kraków,Wisła Kraków,Lis M.,103:28,"5935,52","26,36","3,44",4,"0,00","43,13","297,24","1018,42","4523,08","53,65",12537_filter_live_1.pdf,False,0,4,2020-12-04 Cracovia 1 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
27,2021-05-08,Wisła Kraków 1 - 2 Lech Poznań,Wisła Kraków,Lis M.,96:01,"5279,37","23,52","3,30",4,"0,00","46,92","243,43","1011,45","3915,45","62,12",12710_filter_live_1.pdf,False,0,4,2021-05-08 Wisła Kraków 1 - 2 Lech Poznań,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
28,2021-04-09,Wisła Kraków 1 - 2 Raków Częstochowa,Wisła Kraków,Lis M.,94:16,"5756,49","26,92","3,66",9,"22,10","95,70","284,69","1150,53","4154,72","48,75",12657_filter_live_1.pdf,False,1,8,2021-04-09 Wisła Kraków 1 - 2 Raków Częstochowa,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
29,2020-07-14,KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,Wisła Kraków,Lis M.,94:21,"5123,74","24,70","3,26",3,"0,00","41,42","255,00","1121,25","3680,05","26,02",12434_filter_live_1.pdf,False,0,3,2020-07-14 KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
