PDF Name;Date;Match Details;Match Length;Net Playing Time;Net Playing Time (1st half);Net Playing Time (2nd half);Team Name;Possession;Net Poss. Time;Net Poss. Time (1st half);Net Poss. Time (2nd half);Distance (m);Sprints;High Speed Runs;Sprint Distance (m);Top Speed (Player);Top Speed (Young Player);Top Speed (km/h);Max Distance (Player);Max Distance (Young Player);Max Distance (m);Max Sprints (Player);Max Sprints (Young Player);Max Sprints;Key;Season
12471_filter_live_1.pdf;2020-09-12;Śląsk Wrocław 3 - 3 Lech Poznań;0.1:37:9;0.0:56:13;0.0:28:42;0.0:27:31;Lech Poznań;60%;0.0:33:14;0.0:16:31;0.0:16:43;113035,87;113;531;2067,37;Czerwiński A.;False;33,63;Czerwiński A.;False;11525,72;Czerwiński A.;False;18;2020-09-12 Śląsk Wrocław 3 - 3 Lech Poznań;2020/2021
12272_filter_live_1.pdf;2019-11-24;Śląsk Wrocław 2 - 1 Wisła Kraków;0.1:37:42;0.0:55:7;0.0:26:44;0.0:28:23;Śląsk Wrocław;58%;0.0:32:3;0.0:16:41;0.0:15:22;109145,6;99;460;1897,59;Płacheta P.;False;34,43;Chrapek M.;False;10893,82;Płacheta P.;False;26;2019-11-24 Śląsk Wrocław 2 - 1 Wisła Kraków;2019/2020
12272_filter_live_1.pdf;2019-11-24;Śląsk Wrocław 2 - 1 Wisła Kraków;0.1:37:42;0.0:55:7;0.0:26:44;0.0:28:23;Wisła Kraków;42%;0.0:22:27;0.0:9:41;0.0:12:46;110070,16;82;452;1521,48;Boguski R.;False;32,43;Boguski R.;False;11194,75;Silva J.;False;15;2019-11-24 Śląsk Wrocław 2 - 1 Wisła Kraków;2019/2020
Legia Warszawa - Zagłębie Lubin (2).pdf;2019-05-19;Legia Warszawa 2 - 2 KGHM Zagłębie Lubin;0.1:35:38;0.1:6:59;0.0:33:22;0.0:33:37;Legia Warszawa;48%;0.0:33:17;0.0:15:0;0.0:18:17;113426,92;131;534;2434,5;Rocha L.;False;33,87;Rocha L.;False;11461,05;Rocha L.;False;22;2019-05-19 Legia Warszawa 2 - 2 KGHM Zagłębie Lubin;2018/2019
Legia Warszawa - Zagłębie Lubin (2).pdf;2019-05-19;Legia Warszawa 2 - 2 KGHM Zagłębie Lubin;0.1:35:38;0.1:6:59;0.0:33:22;0.0:33:37;KGHM Zagłębie Lubin;52%;0.0:33:12;0.0:18:13;0.0:14:59;116836,39;96;475;1989,48;Czerwiński A.;False;33,37;Slisz B.;False;12670,99;Czerwiński A.;False;17;2019-05-19 Legia Warszawa 2 - 2 KGHM Zagłębie Lubin;2018/2019
Wisła Kraków - Śląsk Wrocław.pdf;2019-07-20;Wisła Kraków 0 - 1 Śląsk Wrocław;0.1:33:14;0.0:59:19;0.0:30:36;0.0:28:43;Wisła Kraków;56%;0.0:33:36;0.0:17:41;0.0:15:55;107006,22;84;456;1551,11;Mak M.;False;32,23;Wojtkowski K.;False;11121,64;Mak M.;False;16;2019-07-20 Wisła Kraków 0 - 1 Śląsk Wrocław;2019/2020
Wisła Kraków - Śląsk Wrocław.pdf;2019-07-20;Wisła Kraków 0 - 1 Śląsk Wrocław;0.1:33:14;0.0:59:19;0.0:30:36;0.0:28:43;Śląsk Wrocław;44%;0.0:25:12;0.0:12:44;0.0:12:28;110518,53;78;493;1298,13;Płacheta P.;False;34,24;Płacheta P.;False;11544,38;Płacheta P.;False;14;2019-07-20 Wisła Kraków 0 - 1 Śląsk Wrocław;2019/2020
12341_filter_live_1.pdf;2020-03-01;Korona Kielce 1 - 2 Lechia Gdańsk;0.1:38:26;0.0:50:26;0.0:26:14;0.0:24:12;Korona Kielce;52%;0.0:26:28;0.0:14:26;0.0:12:2;110831,57;95;497;1701,03;Cecarić B.;False;33,15;Pacinda E.;False;11411,87;Pućko M.;False;18;2020-03-01 Korona Kielce 1 - 2 Lechia Gdańsk;2019/2020
12341_filter_live_1.pdf;2020-03-01;Korona Kielce 1 - 2 Lechia Gdańsk;0.1:38:26;0.0:50:26;0.0:26:14;0.0:24:12;Lechia Gdańsk;48%;0.0:23:18;0.0:11:32;0.0:11:46;114811,95;111;507;1862,85;Kobryń R.;False;32,94;Gajos M.;False;11441,08;Haydary O.;False;21;2020-03-01 Korona Kielce 1 - 2 Lechia Gdańsk;2019/2020
12234_filter_live_1.pdf;2019-10-20;Górnik Zabrze 1 - 1 ŁKS Łódź;0.1:34:46;0.0:49:2;0.0:24:55;0.0:24:7;Górnik Zabrze;48%;0.0:23:29;0.0:12:0;0.0:11:29;113435,17;100;525;1702,32;Angulo I.;False;33,44;Matuszek S.;False;11672,25;Janża E.;False;17;2019-10-20 Górnik Zabrze 1 - 1 ŁKS Łódź;2019/2020
