,Player Name,Season,Team Name,Fminside Link
141,Patryk Plewka ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96108638-patryk-plewka
142,Georgi Zhukov ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/18060344-georgii-zhukov
143,Jonathan Silva ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/19350832-jonathan-silva
144,Yaw Yeboah ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/13158403-yaw-yeboah
145,Felicio Brown Forbes ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/91018523-felicio-brown-forbes
146,Jakub Blaszczykowski ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/719793-jakub-blaszczykowski
147,Dawid Abramowicz ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96018213-dawid-abramowicz
148,Fatos Beqiraj ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/62028960-fatos-beciraj
149,Mariusz Pawelec ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/717425-mariusz-pawelec
150,Piotr Celeban ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/717757-piotr-celeban
151,Wojciech Golla ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96001405-wojciech-golla
152,Waldemar Sobota ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96000016-waldemar-sobota
153,Mateusz Praszelik ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96105431-mateusz-praszelik
154,Fabian Piasecki ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96062299-fabian-piasecki
155,Mathieu Scalet ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96090746-mathieu-scalet
156,Maciej Palaszewski ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96079301-maciej-palaszewski
157,Piotr Samiec,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96137843-piotr-samiec-talar
158,Przemyslaw Bargiel ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96103898-przemyslaw-bargiel
159,Artur Boruc ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/713854-artur-boruc
160,Mateusz Wieteska ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/96059426-mateusz-wieteska
161,Artem Shabanov ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/71031648-artem-shabanov
162,Josip Juranovic ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/24047634-josip-juranovic
163,Bartosz Kapustka ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/96049729-bartosz-kapustka
164,Bartosz Slisz ,2020/2021,Legia Warszawa,https://fminside.net/players/2-fm-22/96111188-bartosz-slisz
