,Player Name
4850,Palacz K.
4870,Nawrocki M.
4880,Burman B.
5061,Stasik S.
5392,Sadłocha K.
5397,Oko D.
5401,Starzyński F.
5406,Podliński K.
5407,Łakomy Ł.
5955,Osobiński J.
5956,Seweryś R.
5967,Sowiński M.
5969,Arndt D.
5970,Dąbrowski M.
5971,Klimczak A.
5973,Sobociński J.
5974,Srnić D.
5975,Rozwandowicz M.
5977,Trąbka M.
5978,Pirulo
5980,Sekulski Ł.
5981,Wolski M.
5982,Moros Gracia C.
6123,Crnomarković D.
6126,Stoch M.
6146,Kostorz K.
6252,Rodriguez J.
6263,Wolski R.
6303,Sopoćko M.
6311,Stephen G.
6798,Korun U.
6802,Hateley T.
6806,Felix J.
6807,Parzyszek P.
7011,Pankiewicz S.
7035,Kaczmarek M.
7043,Bohar D.
7048,Tosik J.
7049,Pakulski D.
7174,Wachowiak K.
7203,Hyjek J.
7221,Muhar K.
7758,Jablonsky D.
7759,Dytiatjew O.
7766,Rakoczy M.
7770,Bała T.
7771,Szymański K.
7779,Jóźwiak K.
7781,Gytkjaer C.
7784,Żamaletdinow T.
8012,Leszczyński R.
8013,Osyra K.
8259,Rogoziński K.
8667,Wolsztyński Ł.
8942,Sypek J.
9128,Martin I.
9301,Seweryn Ł.
9516,Pindroch B.
9573,Kobryń R.
9583,Maulana Vikri E.
9883,Gutowski K.
10159,Primel D.
10245,Mleczko M.
10246,Kostewycz W.
10249,Gumny R.
10268,Ze Gomes
10479,Winciersz M.
10492,Szpakowski M.
11601,Bieszczad K.
11916,Helstrup F.
11920,Markiewicz D.
11923,Siemaszko R.
12219,Camara J.
12828,Wasilewski M.
12829,Drzazga K.
12830,Brożek P.
12831,Krzepisz K.
12834,Chmielnicki D.
12839,Bergqvist D.
12842,Soboczyński P.
12885,Łyszczarz A.
13101,Sobczak S.
13537,Kręcichwost B.
13935,Gut J.
14645,Mruk B.
14936,Urbański K.
15634,Malarz A.
15644,Corral S.
15645,Sajdak P.
15646,Dominguez A.
15736,Pestka K.
15737,Helik M.
15859,Matysik M.
16077,Guima R.
17731,Koperski F.
18530,Pacławski N.
18938,Muzyk W.
18963,Nunes R.
20094,Mazur M.
20175,Dymerski F.
20659,Twarowski M.
21024,Pierzchała P.
21033,Papadopulos M.
21035,Górski J.
21398,Oziębała P.
22274,Witek J.
22275,Sielewski B.
22276,Kwietniewski M.
22323,Babenko R.
22608,Maj P.
22963,Matuszek S.
22971,Forenc K.
22981,Białek B.
