,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
20,2021-02-19,Wisła Kraków 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,84:55,"10242,96","31,00","7,24",64,"367,66","673,95","2032,16","4528,93","2624,82","15,44",12609_filter_live_1.pdf,False,16,48,2021-02-19 Wisła Kraków 2 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
21,2021-04-10,Pogoń Szczecin 2 - 0 Wisła Płock,Pogoń Szczecin,Mata L.,95:49,"11444,90","31,01","7,17",73,"190,27","880,79","1844,59","5372,33","3142,27","14,65",12658_filter_live_1.pdf,False,11,62,2021-04-10 Pogoń Szczecin 2 - 0 Wisła Płock,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
22,2021-05-07,KGHM Zagłębie Lubin 1 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,76:26,"9160,10","32,77","7,19",62,"302,11","591,98","1272,89","4215,92","2694,12","83,08",12705_filter_live_1.pdf,False,16,46,2021-05-07 KGHM Zagłębie Lubin 1 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
23,2021-03-07,Pogoń Szczecin 0 - 1 Lech Poznań,Pogoń Szczecin,Mata L.,54:10,"6164,43","31,09","6,83",33,"110,73","355,87","1075,42","2859,29","1741,53","21,59",12630_filter_live_1.pdf,False,5,28,2021-03-07 Pogoń Szczecin 0 - 1 Lech Poznań,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
24,2021-03-12,Jagiellonia Białystok 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,90:52,"9979,93","31,20","6,59",66,"131,95","823,61","1769,13","3999,30","3099,45","156,49",12633_filter_live_1.pdf,False,9,57,2021-03-12 Jagiellonia Białystok 0 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
25,2021-03-19,Pogoń Szczecin 1 - 0 Lechia Gdańsk,Pogoń Szczecin,Mata L.,94:22,"11817,60","31,51","7,51",82,"476,72","910,13","1853,12","5384,68","3124,33","68,62",12641_filter_live_1.pdf,False,18,64,2021-03-19 Pogoń Szczecin 1 - 0 Lechia Gdańsk,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
26,2021-01-29,Raków Częstochowa 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,98:12,"11664,19","30,55","7,13",77,"242,91","771,60","2012,39","5348,64","3220,18","68,47",12565_filter_live_1.pdf,False,14,63,2021-01-29 Raków Częstochowa 0 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
27,2021-04-16,Podbeskidzie Bielsko - Biała 0 - 2 Pogoń Szczecin,Pogoń Szczecin,Mata L.,57:13,"5496,30","29,86","5,76",27,"66,48","256,43","588,85","1433,72","1505,48","1645,34",12672_filter_live_1.pdf,False,4,23,2021-04-16 Podbeskidzie Bielsko - Biała 0 - 2 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
28,2021-04-20,Pogoń Szczecin 1 - 0 Górnik Zabrze,Pogoń Szczecin,Mata L.,93:10,"10254,58","32,20","6,60",57,"155,34","655,40","1602,08","4472,30","3295,52","73,94",12680_filter_live_1.pdf,False,9,48,2021-04-20 Pogoń Szczecin 1 - 0 Górnik Zabrze,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
29,2020-10-19,Lechia Gdańsk 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,31:04,"3649,94","29,31","7,05",22,"96,84","231,32","585,42","1476,21","1210,33","49,82",12500_filter_live_1.pdf,False,6,16,2020-10-19 Lechia Gdańsk 0 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
30,2021-02-13,Pogoń Szczecin 0 - 0 Piast Gliwice,Pogoń Szczecin,Mata L.,96:23,"10560,27","30,74","6,57",64,"194,25","824,39","1797,30","4336,54","3137,63","270,16",12602_filter_live_1.pdf,False,13,51,2021-02-13 Pogoń Szczecin 0 - 0 Piast Gliwice,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
31,2021-05-01,Pogoń Szczecin 1 - 1 Warta Poznań,Pogoń Szczecin,Mata L.,79:05,"8792,35","30,80","6,67",61,"262,89","600,21","1432,46","3570,02","2891,62","35,15",12703_filter_live_1.pdf,False,15,46,2021-05-01 Pogoń Szczecin 1 - 1 Warta Poznań,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
32,2021-04-03,Legia Warszawa 4 - 2 Pogoń Szczecin,Pogoń Szczecin,Mata L.,22:58,"2932,88","31,54","7,66",24,"93,86","206,11","487,65","1361,72","677,97","105,57",12650_filter_live_1.pdf,False,5,19,2021-04-03 Legia Warszawa 4 - 2 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
33,2020-12-02,Wisła Płock 0 - 0 Pogoń Szczecin,Pogoń Szczecin,Mata L.,45:09,"5236,38","32,88","6,96",29,"127,45","255,43","933,76","2347,72","1522,27","49,75",12519_filter_live_1.pdf,False,8,21,2020-12-02 Wisła Płock 0 - 0 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
34,2021-04-25,PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,100:00,"10769,12","32,22","6,46",82,"387,38","925,66","1844,05","2880,03","4618,74","113,26",12694_filter_live_1.pdf,False,18,64,2021-04-25 PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
35,2020-11-09,Pogoń Szczecin 1 - 1 Podbeskidzie Bielsko - Biała,Pogoń Szczecin,Kucharczyk M.,71:01,"7868,83","29,76","6,65",57,"257,36","625,09","1443,05","2349,38","3093,54","100,41",12526_filter_live_1.pdf,False,15,42,2020-11-09 Pogoń Szczecin 1 - 1 Podbeskidzie Bielsko - Biała,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
36,2020-11-27,Górnik Zabrze 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,98:40,"10949,11","32,41","6,66",84,"385,23","911,44","1872,36","3464,51","3729,69","585,88",12529_filter_live_1.pdf,False,18,66,2020-11-27 Górnik Zabrze 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
37,2021-02-06,Pogoń Szczecin 1 - 0 Cracovia,Pogoń Szczecin,Kucharczyk M.,32:01,"3620,91","30,51","6,79",29,"75,61","393,09","659,59","1369,73","998,23","124,66",12595_filter_live_1.pdf,False,4,25,2021-02-06 Pogoń Szczecin 1 - 0 Cracovia,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
38,2020-10-30,Pogoń Szczecin 3 - 0 Jagiellonia Białystok,Pogoń Szczecin,Kucharczyk M.,80:29,"8858,83","29,00","6,60",61,"130,09","616,65","1663,36","2917,09","3380,60","151,04",12492_filter_live_1.pdf,False,10,51,2020-10-30 Pogoń Szczecin 3 - 0 Jagiellonia Białystok,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
39,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Pogoń Szczecin,Kucharczyk M.,69:27,"7326,49","31,97","6,33",51,"232,94","615,85","1188,14","2326,79","2915,69","47,08",12468_filter_live_1.pdf,False,8,43,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
40,2021-02-28,Śląsk Wrocław 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,97:10,"11309,57","31,31","6,98",86,"255,19","949,51","2357,69","3457,99","4193,25","95,94",12622_filter_live_1.pdf,False,14,72,2021-02-28 Śląsk Wrocław 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
41,2021-02-19,Wisła Kraków 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,96:34,"11168,25","30,64","6,94",90,"300,55","1166,25","2126,80","3454,65","3949,67","170,33",12609_filter_live_1.pdf,False,15,75,2021-02-19 Wisła Kraków 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
42,2021-04-10,Pogoń Szczecin 2 - 0 Wisła Płock,Pogoń Szczecin,Kucharczyk M.,76:42,"9423,59","32,71","7,37",65,"227,95","794,25","1702,32","3112,48","3507,06","79,53",12658_filter_live_1.pdf,False,11,54,2021-04-10 Pogoń Szczecin 2 - 0 Wisła Płock,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
43,2021-05-07,KGHM Zagłębie Lubin 1 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,94:14,"11282,13","31,93","7,18",86,"338,61","1012,22","1998,66","3714,71","4128,23","89,70",12705_filter_live_1.pdf,False,19,67,2021-05-07 KGHM Zagłębie Lubin 1 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,101,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60,MR,2020-11-23,11,10,11,10,11,11,13,10,7,7,10,12,9,11,9,9,14,11,12,8,14,13,13,16,8,16,9,16,13,10,12,9,13,14,14,11
